Name,Review,Star,Helpful,Problem
Joko,Mantaf,5,0,gada
Edilee,"mantap, pengiriman juga sicepat banget",5,0,gada
A***s,"Bagus bgt kak & kokoh, mksh kak 🙏🏻",5,0,gada
P***t,Pesan 2 yang dikirim cuma 1. 😔 Mau minta balikin uangnya ko ya.. riweuh.. yaudahlah..,4,0,gada
hendro,👍👍👍👍👍,5,0,gada
Ratih,Kayanya sih bagus. Ga tau ga liat produknya. Beliin buat pacar. Abis dibeliin malah putus :(,5,0,gada
O***a,barang tidak dikirimkan,1,1,gada
R***i,Recommend,5,0,gada
Putri,Good,5,0,gada
Devi,Oke,5,0,gada
B***k,Sesuai pesanan. Mantul.,5,0,gada
muhammad,"iseng scrol ternyata bisa bayar pakai point kaget dapat notif dikirim 🤭 Seller agak slow tapi mantap barang sesuai pesanan, makin banyak yang order semangat dan makasih 🔥🔥🙏🏻",5,0,gada
A***s,"Penjual yang lucu. Rela ngerusak reputasi harga diri demi barang seharga 10.000 yang ga dikirim. - saya pesan case dan tempered glass lalu paket tiba tanggal 3 mei - yang dikirim hanya tempered glass, itu pun posisinya tidak didalam bubble wrap, jdi tempered glass nya ada di luar wrap nya, padahal wrap nya ada dalam kardus, untuk ga retak pas sampe - case nya tidak ada dalam paket, saya komplain lalu seller minta foto isi paket yang tidak ada case nya, setelah saya kirim, mereka blg akan segera dikirim. - tanggal 9 mei saya tanya apakah barang sudah dikirim, lalu dijawab “sudah dikirim kemarin” yg berarti tgl 8 mei dikirimnya - tgl 17 mei saya chat lagi tanya knapa barang blm sampai, lalu hanya blg maaf atas keterlambatannya Ini mah bukan terlambat, tp emang ga dikirim, segitu susah nya usaha jaman skrng 10ribu aja dicolong. Tenang, komen saya ga akan bikin orang jadi ga beli di toko u kok :) Cuma ya ada malu dikit aja lah, masa iya barang 10ribu sampe dicolong n mesti bohong ke customer. Gw kan masih misqueen, jadi 10ribu gw pasti gw komplain.",5,2,gada
A***a,Bagus bagusss… But the emoney did not work properly. Jadi balik lagi ke lanyard heheh. I recommend you guys to put on some protector for your camera if you want to use this case. Overall this is good. Thx!,5,3,gada
Erica,Potongan kartu kurang simetris but ok lah,4,0,gada
F***q,Good,5,0,gada
Ike,gada,5,0,gada
